RuleID,Name,Severity,Effort,IntroDate,RemoveDate,,File,Project,Intro-Commit,Intro-Author,Remove-Commit,Remove-Author
14,Docstrings should be defined,MAJOR,5,2014/9/20,2014/9/20,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,de0ff6145e553d018fe269ae3da81343d2983e37,Justin Yip
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NfKxPxTKPnYLZNQce,predictionio-sdk-python/examples/itemrank_quick_query.py,predictionio-sdk-python,c0031b0d2607468d5c33382053a82d30ad9984a9,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NeSUAxTKPnYLZNQXr,predictionio-sdk-python/examples/demo-movielens/batch_import.py,predictionio-sdk-python,d9664f171366c8f9d5c6dde8a0c2104a4fa48f2a,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
281,Syntax error,MAJOR,5,2014/9/20,2015/1/15,AW7NfKxPxTKPnYLZNQce,predictionio-sdk-python/examples/itemrank_quick_query.py,predictionio-sdk-python,c0031b0d2607468d5c33382053a82d30ad9984a9,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NfKxPxTKPnYLZNQce,predictionio-sdk-python/examples/itemrank_quick_query.py,predictionio-sdk-python,c0031b0d2607468d5c33382053a82d30ad9984a9,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
21,"The ""print"" statement should not be used",MAJOR,5,2014/9/20,2015/1/15,AW7NfKxPxTKPnYLZNQce,predictionio-sdk-python/examples/itemrank_quick_query.py,predictionio-sdk-python,c0031b0d2607468d5c33382053a82d30ad9984a9,Justin Yip,bc6783282a198ea417e84c1bbc882aa41dd3ffae,Filipe Varela
16,"Sections of code should not be ""commented out""",MAJOR,5,2014/9/19,2014/9/23,AW7Ndtx7xTKPnYLZNQSL,predictionio-sdk-python/examples/import_yahoo.py,predictionio-sdk-python,ee01b3a6f6f31f1b77b5ec2930a3293fc9bd45aa,Justin Yip,026b86d6347ce32bfa6ed1e6f629740eb1697b6c,Justin Yip
